time,elevation,total
00:00:00,0,0
00:10:00,0,0
00:20:00,0,0
00:30:00,0,0
00:40:00,0,30
00:50:00,0,30
01:00:00,0,30
01:10:00,0,30
01:20:00,0,30
01:30:00,0,30
01:40:00,0,30
01:50:00,0,30
02:00:00,0,30
02:10:00,0,30
02:20:00,0,30
02:30:00,0,30
02:40:00,0,30
02:50:00,0,30
03:00:00,0,30
03:10:00,0,30
03:20:00,0,30
03:30:00,0,30
03:40:00,0,30
03:50:00,0,30
04:00:00,0,30
04:10:00,0,30
04:20:00,0,30
04:30:00,0,30
04:40:00,0,30
04:50:00,0,30
05:00:00,0,30
05:10:00,0,30
05:20:00,0,30
05:30:00,0,30
05:40:00,0,30
05:50:00,0,30
06:00:00,0,30
06:10:00,0,30
06:20:00,0,30
06:30:00,0,30
06:40:00,0,30
06:50:00,0,30
07:00:00,0,30
07:10:00,0,30
07:20:00,0,30
07:30:00,0,30
07:40:00,0,30
07:50:00,0,30
08:00:00,0,30
08:10:00,0,30
08:20:00,0,30
08:30:00,0,30
08:40:00,0,30
08:50:00,0,30
09:00:00,0,30
09:10:00,0,30
09:20:00,0,30
09:30:00,0,30
09:40:00,0,30
09:50:00,0,30
10:00:00,0,30
10:10:00,0,30
10:20:00,0,30
10:30:00,0,30
10:40:00,0,30
10:50:00,0,30
11:00:00,0,30
11:10:00,0,30
11:20:00,0,30
11:30:00,0,30
11:40:00,0,60
11:50:00,0,60
12:00:00,0,60
12:10:00,0,60
12:20:00,0,60
12:30:00,0,60
12:40:00,0,60
12:50:00,30,90
13:00:00,0,90
13:10:00,0,90
13:20:00,0,90
13:30:00,0,90
13:40:00,0,90
13:50:00,0,90
14:00:00,0,90
14:10:00,0,90
14:20:00,0,90
14:30:00,0,90
14:40:00,0,90
14:50:00,0,90
15:00:00,0,90
15:10:00,0,90
15:20:00,0,90
15:30:00,0,90
15:40:00,0,90
15:50:00,0,90
16:00:00,0,90
16:10:00,0,90
16:20:00,0,90
16:30:00,0,90
16:40:00,0,90
16:50:00,0,90
17:00:00,0,90
17:10:00,0,90
17:20:00,0,90
17:30:00,0,90
17:40:00,0,100
17:50:00,0,100
18:00:00,0,100
18:10:00,0,100
18:20:00,0,100
18:30:00,0,130
18:40:00,0,130
18:50:00,0,130
19:00:00,0,130
19:10:00,0,130
19:20:00,0,130
19:30:00,0,130
19:40:00,0,130
19:50:00,0,130
20:00:00,0,130
20:10:00,0,130
20:20:00,0,130
20:30:00,0,130
20:40:00,0,130
20:50:00,0,130
21:00:00,0,130
21:10:00,0,130
21:20:00,0,130
21:30:00,0,130
21:40:00,0,130
21:50:00,0,130
22:00:00,0,130
22:10:00,0,160
22:20:00,0,160
22:30:00,0,160
22:40:00,0,160
22:50:00,0,160
23:00:00,0,160
23:10:00,0,160
23:20:00,0,160
23:30:00,0,160
23:40:00,0,170
23:50:00,0,170
