time,floors,total
00:00:00,0,0
00:10:00,0,0
00:20:00,0,0
00:30:00,0,0
00:40:00,0,0
00:50:00,0,0
01:00:00,0,0
01:10:00,0,1
01:20:00,0,1
01:30:00,0,1
01:40:00,0,1
01:50:00,0,1
02:00:00,0,1
02:10:00,0,1
02:20:00,0,1
02:30:00,0,1
02:40:00,0,1
02:50:00,0,1
03:00:00,0,1
03:10:00,0,1
03:20:00,0,1
03:30:00,0,1
03:40:00,0,1
03:50:00,0,1
04:00:00,0,1
04:10:00,0,1
04:20:00,0,1
04:30:00,0,1
04:40:00,0,1
04:50:00,0,1
05:00:00,0,1
05:10:00,0,1
05:20:00,0,1
05:30:00,0,1
05:40:00,0,1
05:50:00,0,1
06:00:00,0,1
06:10:00,0,1
06:20:00,0,1
06:30:00,0,1
06:40:00,0,1
06:50:00,0,1
07:00:00,0,1
07:10:00,0,1
07:20:00,0,1
07:30:00,0,1
07:40:00,0,1
07:50:00,0,1
08:00:00,0,1
08:10:00,0,1
08:20:00,0,1
08:30:00,0,1
08:40:00,0,1
08:50:00,0,1
09:00:00,0,1
09:10:00,0,1
09:20:00,0,1
09:30:00,0,1
09:40:00,0,1
09:50:00,0,1
10:00:00,0,1
10:10:00,0,1
10:20:00,0,1
10:30:00,0,1
10:40:00,0,1
10:50:00,0,1
11:00:00,0,1
11:10:00,0,2
11:20:00,0,2
11:30:00,0,2
11:40:00,0,2
11:50:00,0,2
12:00:00,0,2
12:10:00,0,6
12:20:00,0,7
12:30:00,0,13
12:40:00,0,17
12:50:00,3,25
13:00:00,0,26
13:10:00,0,38
13:20:00,0,44
13:30:00,0,44
13:40:00,0,44
13:50:00,0,44
14:00:00,0,44
14:10:00,0,44
14:20:00,0,45
14:30:00,1,49
14:40:00,2,58
14:50:00,1,67
15:00:00,1,73
15:10:00,1,79
15:20:00,2,90
15:30:00,0,95
15:40:00,0,96
15:50:00,0,99
16:00:00,1,108
16:10:00,0,108
16:20:00,0,108
16:30:00,0,108
16:40:00,0,108
16:50:00,0,108
17:00:00,0,108
17:10:00,0,108
17:20:00,0,108
17:30:00,0,108
17:40:00,0,108
17:50:00,0,108
18:00:00,0,108
18:10:00,0,108
18:20:00,0,108
18:30:00,0,108
18:40:00,0,108
18:50:00,0,108
19:00:00,0,108
19:10:00,0,108
19:20:00,0,108
19:30:00,0,108
19:40:00,0,108
19:50:00,0,108
20:00:00,0,108
20:10:00,0,108
20:20:00,0,108
20:30:00,0,108
20:40:00,0,108
20:50:00,0,108
21:00:00,0,108
21:10:00,0,108
21:20:00,0,108
21:30:00,0,109
21:40:00,0,109
21:50:00,0,109
22:00:00,0,109
22:10:00,0,109
22:20:00,0,109
22:30:00,0,109
22:40:00,0,109
22:50:00,0,109
23:00:00,0,109
23:10:00,0,109
23:20:00,0,109
23:30:00,0,109
23:40:00,0,109
23:50:00,0,109
