time,heart,total
00:00:00,60,60
00:10:00,56,643
00:20:00,56,1198
00:30:00,55,1744
00:40:00,56,2304
00:50:00,55,2858
01:00:00,54,3410
01:10:00,55,3953
01:20:00,56,4501
01:30:00,65,5094
01:40:00,58,5697
01:50:00,57,6302
02:00:00,54,6883
02:10:00,55,7431
02:20:00,55,7982
02:30:00,57,8541
02:40:00,55,9093
02:50:00,53,9645
03:00:00,55,10186
03:10:00,54,10741
03:20:00,56,11308
03:30:00,57,11893
03:40:00,53,12451
03:50:00,54,12998
04:00:00,55,13548
04:10:00,56,14103
04:20:00,56,14661
04:30:00,54,15218
04:40:00,52,15743
04:50:00,55,16273
05:00:00,57,16832
05:10:00,57,17434
05:20:00,56,17996
05:30:00,55,18550
05:40:00,56,19109
05:50:00,55,19679
06:00:00,58,20238
06:10:00,59,20814
06:20:00,60,21416
06:30:00,54,21977
06:40:00,55,22535
06:50:00,55,23089
07:00:00,56,23645
07:10:00,57,24207
07:20:00,58,24780
07:30:00,79,25441
08:07:00,78,26306
08:17:00,98,27167
08:27:00,92,28148
08:37:00,83,29007
08:47:00,96,29795
08:57:00,72,30776
09:07:00,97,31772
09:17:00,95,32711
09:27:00,76,33523
09:37:00,89,34401
09:47:00,58,35051
09:57:00,63,35765
10:07:00,70,36560
10:17:00,68,37237
10:27:00,65,37908
10:37:00,71,38591
10:47:00,73,39278
10:57:00,67,39982
11:07:00,82,40736
11:17:00,72,41450
11:27:00,62,42266
11:37:00,71,42919
11:47:00,65,43608
11:58:00,72,44439
12:08:00,70,45159
12:18:00,65,45854
12:29:00,90,46608
12:39:00,72,47358
12:49:00,68,48068
12:59:00,73,48782
13:09:00,66,49486
13:19:00,89,50302
13:30:00,112,51279
13:40:00,89,52227
13:50:00,115,53209
14:00:00,64,54054
14:10:00,109,54879
14:20:00,83,55850
14:30:00,108,56763
14:40:00,81,57657
14:50:00,93,58586
15:00:00,94,59648
15:10:00,108,60694
15:20:00,78,61527
15:30:00,89,62442
15:40:00,93,63361
15:50:00,77,64208
16:00:00,75,64957
16:10:00,78,65774
16:20:00,76,66595
16:30:00,60,67307
16:40:00,70,68008
16:50:00,77,68732
17:00:00,83,69481
17:10:00,78,70298
17:20:00,75,71047
17:30:00,101,71810
17:40:00,88,72847
17:50:00,94,73713
18:00:00,97,74742
18:10:00,92,75710
18:20:00,113,76701
18:30:00,107,77811
18:40:00,109,78808
18:50:00,89,79761
19:00:00,78,80559
19:10:00,82,81314
19:20:00,67,82103
19:30:00,72,82835
19:40:00,88,83609
19:50:00,72,84353
20:00:00,100,85159
20:10:00,94,86195
20:21:00,113,87175
20:31:00,96,88156
20:41:00,109,89067
20:51:00,102,90071
21:01:00,98,91066
21:11:00,81,91876
21:21:00,85,92711
21:31:00,79,93526
21:41:00,87,94327
21:51:00,81,95148
22:01:00,91,95976
22:11:00,101,96943
22:21:00,124,97934
22:31:00,95,98937
22:42:00,104,99938
22:52:00,100,100906
23:03:00,88,101733
23:13:00,86,102589
23:23:00,86,103418
23:33:00,62,104171
23:43:00,105,105067
23:53:00,92,106124
