time,steps,total
00:00:00,0,0
00:10:00,0,0
00:20:00,0,0
00:30:00,0,0
00:40:00,0,0
00:50:00,0,0
01:00:00,0,0
01:10:00,0,0
01:20:00,0,0
01:30:00,0,0
01:40:00,0,0
01:50:00,0,8
02:00:00,0,8
02:10:00,0,8
02:20:00,0,8
02:30:00,0,8
02:40:00,0,8
02:50:00,0,8
03:00:00,0,8
03:10:00,0,8
03:20:00,0,8
03:30:00,0,8
03:40:00,0,8
03:50:00,0,8
04:00:00,0,8
04:10:00,0,8
04:20:00,0,8
04:30:00,0,8
04:40:00,0,8
04:50:00,0,8
05:00:00,0,8
05:10:00,0,8
05:20:00,0,8
05:30:00,0,8
05:40:00,0,8
05:50:00,0,8
06:00:00,0,8
06:10:00,0,8
06:20:00,0,8
06:30:00,0,8
06:40:00,0,8
06:50:00,0,8
07:00:00,0,8
07:10:00,0,8
07:20:00,0,8
07:30:00,10,46
07:40:00,0,59
07:50:00,0,59
08:00:00,0,145
08:10:00,0,145
08:20:00,0,145
08:30:00,0,145
08:40:00,0,177
08:50:00,10,312
09:00:00,36,417
09:10:00,0,441
09:20:00,0,441
09:30:00,0,441
09:40:00,0,441
09:50:00,0,441
10:00:00,0,441
10:10:00,0,449
10:20:00,0,449
10:30:00,15,470
10:40:00,73,937
10:50:00,112,1534
11:00:00,0,2129
11:10:00,0,2129
11:20:00,11,2625
11:30:00,0,2633
11:40:00,0,2633
11:50:00,0,2633
12:00:00,28,2702
12:10:00,0,2775
12:20:00,0,2775
12:30:00,0,2775
12:40:00,0,2782
12:50:00,0,2782
13:00:00,0,2839
13:10:00,0,2839
13:20:00,6,2871
13:30:00,45,3537
13:40:00,50,3755
13:50:00,0,3896
14:00:00,0,3922
14:10:00,27,3969
14:20:00,0,3969
14:30:00,0,3969
14:40:00,0,3969
14:50:00,0,3969
15:00:00,0,3969
15:10:00,0,3969
15:20:00,0,3969
15:30:00,0,3976
15:40:00,0,3976
15:50:00,0,3995
16:00:00,0,3995
16:10:00,0,3995
16:20:00,19,4117
16:30:00,19,4219
16:40:00,0,4231
16:50:00,0,4231
17:00:00,0,4273
17:10:00,0,4273
17:20:00,0,4273
17:30:00,6,4287
17:40:00,0,4287
17:50:00,0,4298
18:00:00,96,4414
18:10:00,0,4628
18:20:00,32,4705
18:30:00,0,4788
18:40:00,62,5292
18:50:00,16,5522
19:00:00,0,5533
19:10:00,0,5608
19:20:00,0,5620
19:30:00,8,5637
19:40:00,0,5657
19:50:00,0,5657
20:00:00,0,5657
20:10:00,0,5665
20:20:00,0,5673
20:30:00,4,5677
20:40:00,7,5760
20:50:00,0,5777
21:00:00,17,5901
21:10:00,0,6132
21:20:00,0,6132
21:30:00,0,6132
21:40:00,0,6132
21:50:00,0,6132
22:00:00,67,6339
22:10:00,0,6485
22:20:00,0,6514
22:30:00,0,6514
22:40:00,0,6624
22:50:00,53,6738
23:00:00,21,6822
23:10:00,17,6976
23:20:00,0,6995
23:30:00,0,6995
23:40:00,0,6995
23:50:00,0,6995
