time,heart
00:00:00,75
00:01:00,83
00:02:00,85
00:03:00,83
00:04:00,81
00:05:00,80
00:06:00,81
00:07:00,79
00:08:00,86
00:09:00,90
00:10:00,96
00:11:00,112
00:12:00,121
00:13:00,121
00:14:00,111
00:15:00,109
00:16:00,106
00:17:00,97
00:18:00,95
00:19:00,76
00:20:00,74
00:21:00,75
00:22:00,79
00:23:00,86
00:24:00,87
00:25:00,89
00:26:00,87
00:27:00,83
00:28:00,81
00:29:00,79
00:30:00,78
00:31:00,75
00:32:00,84
00:33:00,91
00:34:00,83
00:35:00,80
00:36:00,75
00:37:00,72
00:38:00,74
00:39:00,77
00:40:00,76
00:41:00,76
00:42:00,76
00:43:00,76
00:44:00,77
00:45:00,77
00:46:00,78
00:47:00,77
00:48:00,76
00:49:00,72
00:50:00,73
00:51:00,74
00:52:00,74
00:53:00,74
00:54:00,72
00:55:00,78
00:56:00,83
00:57:00,70
00:58:00,68
00:59:00,70
01:00:00,66
01:01:00,67
01:02:00,67
01:03:00,65
01:04:00,66
01:05:00,70
01:06:00,70
01:07:00,73
01:08:00,73
01:09:00,72
01:10:00,71
01:11:00,72
01:12:00,67
01:13:00,71
01:14:00,68
01:15:00,72
01:16:00,67
01:17:00,67
01:18:00,71
01:19:00,69
01:20:00,65
01:21:00,75
01:22:00,86
01:23:00,89
01:24:00,94
01:25:00,100
01:26:00,99
01:27:00,69
01:28:00,64
01:29:00,67
01:30:00,69
01:31:00,66
01:32:00,69
01:33:00,66
01:34:00,65
01:35:00,70
01:36:00,72
01:37:00,73
01:38:00,74
01:39:00,75
01:40:00,78
01:41:00,81
01:42:00,82
01:43:00,75
01:44:00,64
01:45:00,60
01:46:00,63
01:47:00,65
01:48:00,63
01:49:00,70
01:50:00,64
01:51:00,69
01:52:00,69
01:53:00,67
01:54:00,70
01:55:00,68
01:56:00,65
01:57:00,65
01:58:00,68
01:59:00,61
02:00:00,65
02:01:00,67
02:02:00,65
02:03:00,64
02:04:00,63
02:05:00,68
02:06:00,68
02:07:00,70
02:08:00,66
02:09:00,63
02:10:00,64
02:11:00,63
02:12:00,70
02:13:00,67
02:14:00,66
02:15:00,68
02:16:00,66
02:17:00,64
02:18:00,64
02:19:00,69
02:20:00,63
02:21:00,60
02:22:00,65
02:23:00,84
02:24:00,75
02:25:00,67
02:26:00,58
02:27:00,59
02:28:00,60
02:29:00,58
02:30:00,59
02:31:00,60
02:32:00,58
02:33:00,71
02:34:00,73
